,CaseNo,CaseTitle,Pertains,Justice,Vote,Appellant,Appellee
94,22-210,Dupree v. Younger,Amendment ,Sonia Sotomayor,Majority,Dupree,Younger
95,22-210,Dupree v. Younger,Amendment ,Elena Kagan,Majority,Dupree,Younger
96,22-210,Dupree v. Younger,Amendment ,Neil Gorsuch,Majority,Dupree,Younger
97,22-210,Dupree v. Younger,Amendment ,Brett M. Kavanaugh,Majority,Dupree,Younger
98,22-210,Dupree v. Younger,Amendment ,Ketanji Brown Jackson,Majority,Dupree,Younger
99,22-96,"Financial Oversight and Management Board for Puerto Rico v. Centro de Periodismo Investigativo, Inc.",Act ,Elena Kagan,Majority,Financial Oversight and Management Board for Puerto Rico,"Centro de Periodismo Investigativo, Inc."
100,22-96,"Financial Oversight and Management Board for Puerto Rico v. Centro de Periodismo Investigativo, Inc.",Act ,"John G. Roberts, Jr.",Majority,Financial Oversight and Management Board for Puerto Rico,"Centro de Periodismo Investigativo, Inc."
101,22-96,"Financial Oversight and Management Board for Puerto Rico v. Centro de Periodismo Investigativo, Inc.",Act ,Clarence Thomas,Minority,Financial Oversight and Management Board for Puerto Rico,"Centro de Periodismo Investigativo, Inc."
102,22-96,"Financial Oversight and Management Board for Puerto Rico v. Centro de Periodismo Investigativo, Inc.",Act ,"Samuel A. Alito, Jr.",Majority,Financial Oversight and Management Board for Puerto Rico,"Centro de Periodismo Investigativo, Inc."
103,22-96,"Financial Oversight and Management Board for Puerto Rico v. Centro de Periodismo Investigativo, Inc.",Act ,Sonia Sotomayor,Majority,Financial Oversight and Management Board for Puerto Rico,"Centro de Periodismo Investigativo, Inc."
104,22-96,"Financial Oversight and Management Board for Puerto Rico v. Centro de Periodismo Investigativo, Inc.",Act ,Neil Gorsuch,Majority,Financial Oversight and Management Board for Puerto Rico,"Centro de Periodismo Investigativo, Inc."
105,22-96,"Financial Oversight and Management Board for Puerto Rico v. Centro de Periodismo Investigativo, Inc.",Act ,Brett M. Kavanaugh,Majority,Financial Oversight and Management Board for Puerto Rico,"Centro de Periodismo Investigativo, Inc."
106,22-96,"Financial Oversight and Management Board for Puerto Rico v. Centro de Periodismo Investigativo, Inc.",Act ,Amy Coney Barrett,Majority,Financial Oversight and Management Board for Puerto Rico,"Centro de Periodismo Investigativo, Inc."
107,22-96,"Financial Oversight and Management Board for Puerto Rico v. Centro de Periodismo Investigativo, Inc.",Act ,Ketanji Brown Jackson,Majority,Financial Oversight and Management Board for Puerto Rico,"Centro de Periodismo Investigativo, Inc."
108,21-1449,"Glacier Northwest, Inc. v. International Brotherhood of Teamsters",Act ,Amy Coney Barrett,Majority,"Glacier Northwest, Inc.",International Brotherhood of Teamsters
109,21-1449,"Glacier Northwest, Inc. v. International Brotherhood of Teamsters",Act ,"John G. Roberts, Jr.",Majority,"Glacier Northwest, Inc.",International Brotherhood of Teamsters
110,21-1449,"Glacier Northwest, Inc. v. International Brotherhood of Teamsters",Act ,Clarence Thomas,Majority,"Glacier Northwest, Inc.",International Brotherhood of Teamsters
111,21-1449,"Glacier Northwest, Inc. v. International Brotherhood of Teamsters",Act ,"Samuel A. Alito, Jr.",Majority,"Glacier Northwest, Inc.",International Brotherhood of Teamsters
112,21-1449,"Glacier Northwest, Inc. v. International Brotherhood of Teamsters",Act ,Neil Gorsuch,Majority,"Glacier Northwest, Inc.",International Brotherhood of Teamsters
113,21-1449,"Glacier Northwest, Inc. v. International Brotherhood of Teamsters",Act ,Sonia Sotomayor,Majority,"Glacier Northwest, Inc.",International Brotherhood of Teamsters
114,21-1449,"Glacier Northwest, Inc. v. International Brotherhood of Teamsters",Act ,Elena Kagan,Majority,"Glacier Northwest, Inc.",International Brotherhood of Teamsters
115,21-1449,"Glacier Northwest, Inc. v. International Brotherhood of Teamsters",Act ,Brett M. Kavanaugh,Majority,"Glacier Northwest, Inc.",International Brotherhood of Teamsters
116,21-1449,"Glacier Northwest, Inc. v. International Brotherhood of Teamsters",Act ,Ketanji Brown Jackson,Minority,"Glacier Northwest, Inc.",International Brotherhood of Teamsters
117,21-376,Haaland v. Brackeen,Act ,Amy Coney Barrett,Majority,Haaland,Brackeen
118,21-376,Haaland v. Brackeen,Act ,"John G. Roberts, Jr.",Majority,Haaland,Brackeen
119,21-376,Haaland v. Brackeen,Act ,Clarence Thomas,Minority,Haaland,Brackeen
120,21-376,Haaland v. Brackeen,Act ,"Samuel A. Alito, Jr.",Minority,Haaland,Brackeen
121,21-376,Haaland v. Brackeen,Act ,Sonia Sotomayor,Majority,Haaland,Brackeen
122,21-376,Haaland v. Brackeen,Act ,Elena Kagan,Majority,Haaland,Brackeen
123,21-376,Haaland v. Brackeen,Act ,Neil Gorsuch,Majority,Haaland,Brackeen
124,21-376,Haaland v. Brackeen,Act ,Brett M. Kavanaugh,Majority,Haaland,Brackeen
125,21-376,Haaland v. Brackeen,Act ,Ketanji Brown Jackson,Majority,Haaland,Brackeen
126,21-806,Health and Hospital Corporation of Marion County v. Talevski,Clause ,Ketanji Brown Jackson,Majority,Health and Hospital Corporation of Marion County,Talevski
127,21-806,Health and Hospital Corporation of Marion County v. Talevski,Clause ,"John G. Roberts, Jr.",Majority,Health and Hospital Corporation of Marion County,Talevski
128,21-806,Health and Hospital Corporation of Marion County v. Talevski,Clause ,Clarence Thomas,Minority,Health and Hospital Corporation of Marion County,Talevski
129,21-806,Health and Hospital Corporation of Marion County v. Talevski,Clause ,"Samuel A. Alito, Jr.",Minority,Health and Hospital Corporation of Marion County,Talevski
130,21-806,Health and Hospital Corporation of Marion County v. Talevski,Clause ,Sonia Sotomayor,Majority,Health and Hospital Corporation of Marion County,Talevski
131,21-806,Health and Hospital Corporation of Marion County v. Talevski,Clause ,Elena Kagan,Majority,Health and Hospital Corporation of Marion County,Talevski
